-13.2445210,0.5840978,2.4941056
-13.1174992,0.4299705,2.4132498
-12.9820705,0.2842816,2.3367772
-12.8347704,0.1504045,2.3310307
-12.6737309,0.0320732,2.3542280
-12.4997287,-0.0674043,2.3964142
-12.3154348,-0.1466963,2.4677976
-12.1261625,-0.2074366,2.6140090
-11.9320703,-0.2550198,2.7585576
-11.7347753,-0.2921680,2.8984441
-11.5373826,-0.3198241,3.0326373
-11.3385499,-0.3399000,3.1666486
-11.1384392,-0.3538269,3.3006056
-10.9392043,-0.3628048,3.4354008
-10.7392037,-0.3681137,3.5699072
-10.5390836,-0.3707124,3.7041259
-10.3392123,-0.3714208,3.8356454
-10.1392183,-0.3709291,3.9655233
-9.9393539,-0.3698048,4.0923713
-9.7395057,-0.3684684,4.2156619
-9.5396841,-0.3670654,4.3369033
-9.3398100,-0.3656090,4.4535589
-9.1399237,-0.3641592,4.5675583
-8.9400865,-0.3627485,4.6791843
-8.7401901,-0.3613736,4.7864786
-8.5403290,-0.3600317,4.8920544
-8.3404713,-0.3587195,4.9949269
-8.1405734,-0.3574340,5.0950054
-7.9407419,-0.3561733,5.1936167
-7.7408476,-0.3549338,5.2894482
-7.5409626,-0.3537136,5.3835119
-7.3411719,-0.3525106,5.4763075
-7.1412214,-0.3513207,5.5663458
-6.9413614,-0.3501432,5.6553133
-6.7415398,-0.3489755,5.7428244
-6.5415977,-0.3478143,5.8283649
-6.3417725,-0.3466591,5.9129587
-6.1419043,-0.3455064,5.9960136
-5.9419771,-0.3443518,6.0776575
-5.7421964,-0.3431908,6.1584541
-5.5422745,-0.3420190,6.2377006
-5.3423925,-0.3408438,6.3159032
-5.1426353,-0.3396690,6.3933253
-4.9426841,-0.3384931,6.4691695
-4.7428261,-0.3373182,6.5442048
-4.5430456,-0.3361445,6.6184555
-4.3431026,-0.3349706,6.6912244
-4.1432570,-0.3337982,6.7633068
-3.9434381,-0.3326270,6.8345530
-3.7435261,-0.3314564,6.9045176
-3.5436842,-0.3302874,6.9738292
-3.3438406,-0.3291196,7.0422755
-3.1439521,-0.3279528,7.1095939
-2.9441077,-0.3267876,7.1762900
-2.7442499,-0.3256237,7.2421045
-2.5443793,-0.3244612,7.3069133
-2.3445277,-0.3233001,7.3711278
-2.1446639,-0.3221405,7.4344504
-1.9448069,-0.3209847,7.4968306
-1.7449439,-0.3198388,7.5585988
-1.5450814,-0.3187142,7.6193610
-1.3452337,-0.3176275,7.6791525
-1.1453547,-0.3165992,7.7382830
-0.9455006,-0.3156532,7.7962633
-0.7456570,-0.3148146,7.8533018
-0.5457563,-0.3141085,7.9096732
-0.3459194,-0.3135583,7.9648577
-0.1460744,-0.3131809,7.9624509
0.0538541,-0.3129903,7.9176399
0.2536613,-0.3129989,7.8106224
0.4535138,-0.3132186,7.7034848
0.6534770,-0.3136578,7.5962442
0.8532374,-0.3143174,7.4885934
1.0531052,-0.3151911,7.3806935
1.2530486,-0.3162655,7.2724961
1.4528052,-0.3175208,7.1637318
1.6526998,-0.3189368,7.0546762
1.8525978,-0.3204889,6.9451925
2.0523733,-0.3221512,6.8351729
2.2523219,-0.3239032,6.7248468
2.4521572,-0.3257218,6.6139511
2.6519954,-0.3275910,6.5025073
