0.0000000; -13.2445210; 0.5840978; -2.4796026; 0.2635107; 2.4941056; -0.9926204
0.1998690; -13.1174992; 0.4299705; -2.4246149; 0.2753100; 2.4132498; -0.9087118
0.3997380; -12.9820705; 0.2842816; -2.3550129; 0.4310840; 2.3367772; -0.0671031
0.5996071; -12.8347704; 0.1504045; -2.2589944; 0.5241019; 2.3310307; 0.2718910
0.7994761; -12.6737309; 0.0320732; -2.1485250; 0.5709606; 2.3542280; 0.5013571
0.9993451; -12.4997287; -0.0674043; -2.0314123; 0.5697138; 2.3964142; 0.8686295
1.1992141; -12.3154348; -0.1466963; -1.9254298; 0.4908527; 2.4677976; 1.8587628
1.3990831; -12.1261625; -0.2074366; -1.8421039; 0.3474766; 2.6140090; 1.9427638
1.5989522; -11.9320703; -0.2550198; -1.7828359; 0.2692183; 2.7585576; 1.9796425
1.7988212; -11.7347753; -0.2921680; -1.7320309; 0.2361277; 2.8984441; 1.9910810
1.9986902; -11.5373826; -0.3198241; -1.6894025; 0.1927883; 3.0326373; 2.0782967
2.1985592; -11.3385499; -0.3399000; -1.6546979; 0.1551958; 3.1666486; 2.1672550
2.3984283; -11.1384392; -0.3538269; -1.6269748; 0.1219049; 3.3006056; 2.2714393
2.5982973; -10.9392043; -0.3628048; -1.6056647; 0.0922974; 3.4354008; 2.3571911
2.7981663; -10.7392037; -0.3681137; -1.5898304; 0.0674976; 3.5699072; 2.4423773
2.9980353; -10.5390836; -0.3707124; -1.5784262; 0.0466856; 3.7041259; 2.4806928
3.1979043; -10.3392123; -0.3714208; -1.5708049; 0.0299655; 3.8356454; 2.5346586
3.3977734; -10.1392183; -0.3709291; -1.5663634; 0.0155668; 3.9655233; 2.5569936
3.5976424; -9.9393539; -0.3698048; -1.5643428; 0.0046378; 4.0923713; 2.5624347
3.7975114; -9.7395057; -0.3684684; -1.5639431; 0.0016284; 4.2156619; 2.5940118
3.9973804; -9.5396841; -0.3670654; -1.5636053; 0.0015463; 4.3369033; 2.5653196
4.1972494; -9.3398100; -0.3656090; -1.5634725; -0.0002164; 4.4535589; 2.5726914
4.3971185; -9.1399237; -0.3641592; -1.5636403; -0.0009998; 4.5675583; 2.5821331
4.5969875; -8.9400865; -0.3627485; -1.5638308; -0.0009067; 4.6791843; 2.5406918
4.7968565; -8.7401901; -0.3613736; -1.5640033; -0.0008200; 4.7864786; 2.5562226
